precision,recall,kappa,f1-score,last_precision,last_recall,last_kappa,last_f1-score,precision_pred_0_with_drift,precision_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.11,0.11,0.0111111111111109,0.11,0.18,0.18,0.0888888888888888,0.18,0.2269874568555982,0.23765305018562297,0.2269874568555982,0.23765305018562297,0.14109718010104072,0.15294783636833328,0.2269874568555982,0.23765305018562297
0.14,0.14,0.0444444444444447,0.14,0.18,0.18,0.0888888888888888,0.18,0.19255944462533509,0.2338461117017796,0.19255944462533509,0.2338461117017796,0.10284382993360357,0.1487179054098983,0.19255944462533509,0.2338461117017796
0.17,0.17,0.0777777777777779,0.17,0.18,0.18,0.0888888888888888,0.18,0.23592398702519093,0.24425080538950458,0.23592398702519093,0.24425080538950458,0.15102665811396107,0.16027867714026586,0.23592398702519093,0.24425080538950458
0.23,0.23,0.1444444444444445,0.23,0.18,0.18,0.0888888888888888,0.18,0.21438768034976227,0.2332472302488344,0.21438768034976227,0.2332472302488344,0.12709742849083155,0.14805248312602495,0.21438768034976227,0.2332472302488344
0.23,0.23,0.1444444444444441,0.23,0.19,0.19,0.1,0.19,0.20070249884053662,0.21420497474311792,0.20070249884053662,0.21420497474311792,0.11189166807693618,0.12689442134452672,0.20070249884053662,0.21420497474311792
0.23,0.23,0.1444444444444445,0.23,0.2,0.2,0.1111111111111111,0.2,0.2165697274526096,0.24292473019788297,0.2165697274526096,0.24292473019788297,0.12952192454410513,0.1588052623325012,0.2165697274526096,0.24292473019788297
0.21,0.21,0.1222222222222219,0.2099999999999999,0.2,0.2,0.1111111111111111,0.2,0.18625488056790843,0.22316649923140155,0.18625488056790843,0.22316649923140155,0.09583876099084546,0.13685166962773831,0.18625488056790843,0.22316649923140155
0.2,0.2,0.1111111111111111,0.2,0.2,0.2,0.1111111111111111,0.2,0.24035838206402468,0.21795516827724468,0.24035838206402468,0.21795516827724468,0.15595376640349742,0.13106130013293854,0.24035838206402468,0.21795516827724468
0.2,0.2,0.1111111111111111,0.2,0.2,0.2,0.1111111111111111,0.2,0.2174585296335555,0.2233571816429944,0.2174585296335555,0.2233571816429944,0.13050948477587299,0.13706354028278075,0.2174585296335555,0.2233571816429944
0.2,0.2,0.1111111111111112,0.2,0.2,0.2,0.1111111111111111,0.2,0.21857100423683157,0.22296424501600293,0.21857100423683157,0.22296424501600293,0.13174556737098814,0.13662694424627156,0.21857100423683157,0.22296424501600293
0.2,0.2,0.1111111111111111,0.2,0.2,0.2,0.1111111111111111,0.2,0.2190969127455562,0.22721304497242897,0.2190969127455562,0.22721304497242897,0.1323299104151194,0.1413478340530705,0.2190969127455562,0.22721304497242897
0.2,0.2,0.1111111111111109,0.2,0.2,0.2,0.1111111111111111,0.2,0.22440235919937684,0.2380204098198119,0.22440235919937684,0.2380204098198119,0.13822485015116545,0.15335601623081785,0.22440235919937684,0.2380204098198119
0.2,0.2,0.1111111111111111,0.2,0.2,0.2,0.1111111111111111,0.2,0.23226139079620656,0.2553448008853576,0.23226139079620656,0.2553448008853576,0.14695710668342193,0.1726053382954822,0.23226139079620656,0.2553448008853576
0.21,0.21,0.1222222222222221,0.2099999999999999,0.2,0.2,0.1111111111111111,0.2,0.1832250081090446,0.22556822977479954,0.1832250081090446,0.22556822977479954,0.09247223369357607,0.139520258092292,0.1832250081090446,0.22556822977479954
