precision,f1-score,kappa,recall,last_precision,last_f1-score,last_kappa,last_recall,precision_pred_0_with_drift,precision_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift
0.11,0.11,0.0728200854255652,0.11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.15,0.1123642439431914,0.15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.15,0.1121788176310842,0.15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.14,0.1008886565603763,0.14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.0520833333333333,0.09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.08,0.0400667779632721,0.08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.0606408516856278,0.1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.13,0.0915735616581393,0.13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.15,0.114491092822169,0.15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.13,0.0925211223531866,0.13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.0706901952594759,0.11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.0481171548117157,0.09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.13,0.0935611585747031,0.13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.15,0.114491092822169,0.15,0.13,0.13,0.0935611585747031,0.13,0.1510473760095859,0.10930206487304048,0.1510473760095859,0.10930206487304048,0.12725934598670086,0.07016100234863891,0.1510473760095859,0.10930206487304048
0.14,0.14,0.1041666666666666,0.14,0.13,0.13,0.0935611585747031,0.13,0.09897519775909423,0.10930206487304048,0.09897519775909423,0.10930206487304048,0.06791943551435399,0.07016100234863891,0.09897519775909423,0.10930206487304048
0.1,0.1,0.0595611285266459,0.1,0.13,0.13,0.0935611585747031,0.13,0.08397713302501789,0.06940594790657165,0.08397713302501789,0.06940594790657165,0.044311680441494514,0.029211979279031318,0.08397713302501789,0.06940594790657165
0.06,0.06,0.0162218733647305,0.06,0.13,0.13,0.0935611585747031,0.13,0.08723431686160811,0.0797571336855156,0.08723431686160811,0.0797571336855156,0.04898258361264102,0.03932312118793851,0.08723431686160811,0.0797571336855156
0.05,0.05,0.0104166666666668,0.05,0.13,0.13,0.0935611585747031,0.13,0.1420715307725881,0.0797571336855156,0.1420715307725881,0.0797571336855156,0.10338970802969212,0.03932312118793851,0.1420715307725881,0.0797571336855156
0.05,0.05,0.0104166666666668,0.05,0.13,0.13,0.0935611585747031,0.13,0.10572299377237131,0.0797571336855156,0.10572299377237131,0.0797571336855156,0.06562392589034177,0.03932312118793851,0.10572299377237131,0.0797571336855156
0.05,0.05,0.0076256137052126,0.05,0.13,0.13,0.0935611585747031,0.13,0.10336951630064914,0.0797571336855156,0.10336951630064914,0.0797571336855156,0.064042186443258,0.03932312118793851,0.10336951630064914,0.0797571336855156
0.04,0.04,0.0,0.04,0.13,0.13,0.0935611585747031,0.13,0.12136985999108522,0.0797571336855156,0.12136985999108522,0.0797571336855156,0.07749435602911421,0.03932312118793851,0.12136985999108522,0.0797571336855156
0.05,0.05,0.0104166666666666,0.05,0.13,0.13,0.0935611585747031,0.13,0.1254267542103005,0.0797571336855156,0.1254267542103005,0.0797571336855156,0.07879962791687384,0.03932312118793851,0.1254267542103005,0.0797571336855156
0.05,0.05,0.0101073252057934,0.05,0.13,0.13,0.0935611585747031,0.13,0.12691652317122265,0.0797571336855156,0.12691652317122265,0.0797571336855156,0.07962923012358135,0.03932312118793851,0.12691652317122265,0.0797571336855156
0.06,0.06,0.0183792815371761,0.06,0.13,0.13,0.0935611585747031,0.13,0.11991100549444235,0.0797571336855156,0.11991100549444235,0.0797571336855156,0.06882266665656797,0.03932312118793851,0.11991100549444235,0.0797571336855156
0.07,0.07,0.0253615594215049,0.07,0.13,0.13,0.0935611585747031,0.13,0.11991100549444235,0.0797571336855156,0.11991100549444235,0.0797571336855156,0.06882266665656797,0.03932312118793851,0.11991100549444235,0.0797571336855156
0.05,0.05,0.0104166666666666,0.05,0.13,0.13,0.0935611585747031,0.13,0.1615910915919082,0.0797571336855156,0.1615910915919082,0.0797571336855156,0.11676668414408385,0.03932312118793851,0.1615910915919082,0.0797571336855156
