recall,kappa,f1-score,auc,precision,last_recall,last_kappa,last_f1-score,last_auc,last_precision,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,auc_pred_0_with_drift,auc_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift
0.953125,0.498567335243553,0.8531468531468531,0.7265625,0.7721518987341772,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9620253164556962,0.7137404580152671,0.9440993788819876,0.8381555153707053,0.926829268292683,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9791666666666666,0.2603550295857988,0.9740932642487048,0.6145833333333333,0.9690721649484536,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5247148288973384,0.9735449735449736,0.6875,0.9484536082474226,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.7857142857142857,0.9361702127659576,0.8676470588235294,0.88,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9830508474576272,0.6971008221549113,0.8923076923076924,0.83298883836296,0.8169014084507042,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9333333333333332,0.5882352941176471,0.8,0.8030303030303031,0.7,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9433962264150944,0.6541903986981286,0.8547008547008547,0.8227619429947812,0.78125,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9523809523809524,0.7336884154460719,0.909090909090909,0.8545688545688546,0.8695652173913043,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9864864864864864,0.7113163972286374,0.935897435897436,0.8201663201663202,0.8902439024390244,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.4393139841688654,0.896969696969697,0.6730769230769231,0.8131868131868132,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.3925233644859812,0.8219178082191781,0.675,0.6976744186046512,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
