recall,precision,kappa,f1-score,last_recall,last_precision,last_kappa,last_f1-score,recall_pred_0_with_drift,recall_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.732,0.732,0.0,0.732,0.626,0.626,0.0,0.626,0.671610225604406,0.6741511587424721,0.671610225604406,0.6741511587424721,0.003961946694559081,0.0008643718644909871,0.671610225604406,0.6741511587424721
0.764,0.764,0.0,0.764,0.633,0.633,0.0,0.633,0.7200739595616719,0.7336417404836307,0.7200739595616719,0.7336417404836307,0.004910336381228956,0.0033858155025023456,0.7200739595616719,0.7336417404836307
0.8,0.8,0.0,0.8000000000000002,0.654,0.654,0.0,0.654,0.7731445068842481,0.7814693438495137,0.7731445068842481,0.7814693438495137,0.005149185087692687,0.003643386014262577,0.7731445068842481,0.7814693438495137
0.824,0.824,0.0,0.824,0.649,0.649,0.0,0.649,0.8177415486042947,0.8090038527678574,0.8177415486042947,0.8090038527678574,0.0014983378506404075,-0.0009172150339617859,0.8177415486042947,0.8090038527678574
0.817,0.817,0.0,0.817,0.625,0.625,0.0,0.625,0.8194781869506585,0.8175079820451582,0.8194781869506585,0.8175079820451582,0.0001272834900241796,-0.001004340002391697,0.8194781869506585,0.8175079820451582
0.812,0.812,0.0,0.8119999999999999,0.648,0.648,0.0,0.648,0.8185707623927909,0.8142032690966772,0.8185707623927909,0.8142032690966772,-0.00016383771899034674,-0.0011065634236255967,0.8185707623927909,0.8142032690966772
0.813,0.813,0.0,0.813,0.671,0.671,0.0,0.671,0.8159253430582053,0.8153635724264119,0.8159253430582053,0.8153635724264119,-0.0007515759406887882,-0.0011655408900191786,0.8159253430582053,0.8153635724264119
0.803,0.803,0.0,0.803,0.732,0.732,0.0,0.732,0.807886024544089,0.8075394709364717,0.807886024544089,0.8075394709364717,0.004185515313215368,0.00011784103029972726,0.807886024544089,0.8075394709364717
0.79,0.79,0.0,0.79,0.764,0.764,0.0,0.764,0.805804595385231,0.8058927332436145,0.805804595385231,0.8058927332436145,0.001622513798745207,-0.0007422482690369576,0.805804595385231,0.8058927332436145
0.766,0.766,0.0,0.766,0.8,0.8,0.0,0.8000000000000002,0.7960757015421709,0.7910424412269963,0.7960757015421709,0.7910424412269963,6.392997895105637e-05,-0.0009895571312041513,0.7960757015421709,0.7910424412269963
0.769,0.769,0.0,0.769,0.824,0.824,0.0,0.824,0.7780911864521969,0.78339014753549,0.7780911864521969,0.78339014753549,-0.0006518336500618289,-0.0023713656339593237,0.7780911864521969,0.78339014753549
0.765,0.765,0.0,0.765,0.817,0.817,0.0,0.817,0.774846227720297,0.770501735370971,0.774846227720297,0.770501735370971,-0.0006045469522401996,0.0012446369490832063,0.774846227720297,0.770501735370971
0.762,0.762,0.0,0.762,0.812,0.812,0.0,0.8119999999999999,0.7777401468493299,0.7765874036523591,0.7777401468493299,0.7765874036523591,0.001258957023889686,0.0009011942040088567,0.7777401468493299,0.7765874036523591
0.723,0.723,0.0,0.723,0.813,0.813,0.0,0.813,0.7670057219661689,0.7724274884730137,0.7670057219661689,0.7724274884730137,0.0015097890149878804,0.0005183862453338938,0.7670057219661689,0.7724274884730137
0.706,0.706,0.0,0.706,0.803,0.803,0.0,0.803,0.7578683798679243,0.7308481439049368,0.7578683798679243,0.7308481439049368,0.0010317699891514425,0.0012747576985817932,0.7578683798679243,0.7308481439049368
0.685,0.685,0.0,0.685,0.79,0.79,0.0,0.79,0.736366257245697,0.7220949246307135,0.736366257245697,0.7220949246307135,0.0018446667966591746,0.00043376080369154533,0.736366257245697,0.7220949246307135
0.688,0.688,0.0,0.688,0.766,0.766,0.0,0.766,0.7355476365508676,0.7235565958415556,0.7355476365508676,0.7235565958415556,0.0024961527177477026,0.00014265149864100743,0.7355476365508676,0.7235565958415556
0.691,0.691,0.0,0.691,0.769,0.769,0.0,0.769,0.7402365339640841,0.7275618921860079,0.7402365339640841,0.7275618921860079,0.0020074271910739826,-0.0003401314725607865,0.7402365339640841,0.7275618921860079
0.669,0.669,0.0,0.669,0.765,0.765,0.0,0.765,0.7386041813045328,0.7203533427665952,0.7386041813045328,0.7203533427665952,-0.0008554623561587733,-0.001468936344703983,0.7386041813045328,0.7203533427665952
0.677,0.677,0.0,0.677,0.762,0.762,0.0,0.762,0.7392334623402064,0.7234181162018255,0.7392334623402064,0.7234181162018255,0.0025889454100717483,0.0008047525691653332,0.7392334623402064,0.7234181162018255
0.677,0.677,0.0,0.677,0.723,0.723,0.0,0.723,0.7394688284890957,0.7030833829714539,0.7394688284890957,0.7030833829714539,0.00627268966501326,0.0016997830610297007,0.7394688284890957,0.7030833829714539
0.659,0.659,0.0,0.659,0.706,0.706,0.0,0.706,0.71853339076306,0.6879102966188819,0.71853339076306,0.6879102966188819,0.0042099455215710065,0.0008071767894849626,0.71853339076306,0.6879102966188819
0.634,0.634,0.0,0.634,0.685,0.685,0.0,0.685,0.7328578402218231,0.695962218976735,0.7328578402218231,0.695962218976735,-0.0013427121530309703,-0.0013498756505259312,0.7328578402218231,0.695962218976735
0.64,0.64,0.0,0.64,0.688,0.688,0.0,0.688,0.7230993911933704,0.6811048486222715,0.7230993911933704,0.6811048486222715,0.0010185667509639933,-9.193437631323915e-05,0.7230993911933704,0.6811048486222715
0.629,0.629,0.0,0.629,0.691,0.691,0.0,0.691,0.7220210746171063,0.679776342724621,0.7220210746171063,0.679776342724621,-0.0004846356773901566,-0.00037846236851913815,0.7220210746171063,0.679776342724621
0.644,0.644,0.0,0.644,0.669,0.669,0.0,0.669,0.7222607631534197,0.6819825848954941,0.7222607631534197,0.6819825848954941,0.0012981992333546564,0.0010636422075783153,0.7222607631534197,0.6819825848954941
0.614,0.614,0.0,0.614,0.677,0.677,0.0,0.677,0.7241196925017931,0.6823444632343191,0.7241196925017931,0.6823444632343191,-0.0013041861764835538,0.0010861651352749248,0.7241196925017931,0.6823444632343191
0.619,0.619,0.0,0.619,0.677,0.677,0.0,0.677,0.7160201768114163,0.6683935816053056,0.7160201768114163,0.6683935816053056,-5.953852830875197e-06,0.0009906870408384078,0.7160201768114163,0.6683935816053056
0.616,0.616,0.0,0.616,0.659,0.659,0.0,0.659,0.7122692333489912,0.6642411672000171,0.7122692333489912,0.6642411672000171,0.003486917827980949,0.0020316569826645038,0.7122692333489912,0.6642411672000171
0.614,0.614,0.0,0.614,0.634,0.634,0.0,0.634,0.6929313324823975,0.6457369563750904,0.6929313324823975,0.6457369563750904,0.0007148082498218871,0.0009155674949861219,0.6929313324823975,0.6457369563750904
0.607,0.607,0.0,0.607,0.64,0.64,0.0,0.64,0.6988090604554985,0.6484314212743739,0.6988090604554985,0.6484314212743739,0.0036976914784301582,0.0004523992770657238,0.6988090604554985,0.6484314212743739
0.618,0.618,0.0,0.618,0.629,0.629,0.0,0.629,0.699803006428467,0.6484860703563257,0.699803006428467,0.6484860703563257,0.003984684172730044,0.0007138346881184113,0.699803006428467,0.6484860703563257
0.617,0.617,0.0,0.617,0.644,0.644,0.0,0.644,0.7051450400196002,0.6491925406097858,0.7051450400196002,0.6491925406097858,0.0022705719354728167,-0.0007182821319665028,0.7051450400196002,0.6491925406097858
0.604,0.604,0.0,0.604,0.614,0.614,0.0,0.614,0.7035129825356093,0.6445087853182021,0.7035129825356093,0.6445087853182021,0.000764977344036385,-0.0010558689642464984,0.7035129825356093,0.6445087853182021
0.628,0.628,0.0,0.628,0.619,0.619,0.0,0.619,0.6997794122569369,0.6551354941778487,0.6997794122569369,0.6551354941778487,0.0011428283401511753,0.00030061000825368906,0.6997794122569369,0.6551354941778487
0.636,0.636,0.0,0.636,0.616,0.616,0.0,0.616,0.6969091693961543,0.6450984675112725,0.6969091693961543,0.6450984675112725,5.049044719806233e-06,5.1934156074966584e-05,0.6969091693961543,0.6450984675112725
0.642,0.642,0.0,0.642,0.614,0.614,0.0,0.614,0.67957828677053,0.6356341477094226,0.67957828677053,0.6356341477094226,0.0013834792789864697,0.000386959623196837,0.67957828677053,0.6356341477094226
0.63,0.63,0.0,0.63,0.607,0.607,0.0,0.607,0.6786257194521551,0.6241413877941474,0.6786257194521551,0.6241413877941474,-0.0022388223816566417,-0.0021236243822137396,0.6786257194521551,0.6241413877941474
0.62,0.62,0.0,0.62,0.618,0.618,0.0,0.618,0.6703926772134827,0.6197573163213145,0.6703926772134827,0.6197573163213145,0.0005989334994592379,-0.0012085403192701838,0.6703926772134827,0.6197573163213145
0.623,0.623,0.0,0.623,0.617,0.617,0.0,0.617,0.6731520476835156,0.612287741262576,0.6731520476835156,0.612287741262576,0.0007256227887578353,-0.0004785337356426352,0.6731520476835156,0.612287741262576
0.612,0.612,0.0,0.612,0.604,0.604,0.0,0.604,0.6706213853722297,0.6158331292969927,0.6706213853722297,0.6158331292969927,0.00353023416340405,0.0031045702529556994,0.6706213853722297,0.6158331292969927
0.607,0.607,0.0,0.607,0.628,0.628,0.0,0.628,0.6785845999885882,0.6244895483092422,0.6785845999885882,0.6244895483092422,0.0013076206302277682,0.0018712186432627597,0.6785845999885882,0.6244895483092422
