recall,precision,kappa,f1-score,last_recall,last_precision,last_kappa,last_f1-score,recall_pred_0_with_drift,recall_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.534,0.534,0.0696857294582216,0.534,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.51,0.0353153337612071,0.51,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.518,0.518,0.0551576240154625,0.518,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.509,0.509,0.0596391772321599,0.509,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.52,0.0766851457875683,0.52,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.536,0.536,0.0995746266339615,0.536,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.549,0.549,0.1174859110832811,0.549,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.529,0.529,0.0804516915003279,0.529,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.518,0.518,0.0711871461550616,0.518,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.497,0.497,0.0685944108257845,0.497,0.518,0.518,0.0711871461550616,0.518,0.49119719779680876,0.4906936814454569,0.49119719779680876,0.4906936814454569,0.023146391128046333,0.02913563009630254,0.49119719779680876,0.4906936814454569
0.49,0.49,0.0621379576674818,0.49,0.518,0.518,0.0711871461550616,0.518,0.49412044262934934,0.49476266094772015,0.49412044262934934,0.49476266094772015,0.04357994955416482,0.0363192419635509,0.49412044262934934,0.49476266094772015
0.5,0.5,0.0735799833985533,0.5,0.518,0.518,0.0711871461550616,0.518,0.5107305801285739,0.5192566832001712,0.5107305801285739,0.5192566832001712,0.10111806019368592,0.07297273336766602,0.5107305801285739,0.5192566832001712
0.516,0.516,0.0863062988231473,0.516,0.518,0.518,0.0711871461550616,0.518,0.49999903664057127,0.5062385238856005,0.49999903664057127,0.5062385238856005,0.05738590428551127,0.06782397051401974,0.49999903664057127,0.5062385238856005
0.517,0.517,0.0908748682427345,0.517,0.518,0.518,0.0711871461550616,0.518,0.5108065348775528,0.514841263116927,0.5108065348775528,0.514841263116927,0.04417278113268649,0.09472966298676967,0.5108065348775528,0.514841263116927
0.51,0.51,0.0705896634396527,0.51,0.518,0.518,0.0711871461550616,0.518,0.5210627362514527,0.5224168845669478,0.5210627362514527,0.5224168845669478,0.0427729618540133,0.09533777766059831,0.5210627362514527,0.5224168845669478
0.514,0.514,0.0709979317279057,0.514,0.518,0.518,0.0711871461550616,0.518,0.5359720622208584,0.5327386834709241,0.5359720622208584,0.5327386834709241,0.10159548281481431,0.10307736149340496,0.5359720622208584,0.5327386834709241
0.51,0.51,0.053805632366799,0.51,0.497,0.497,0.0685944108257845,0.497,0.5223416854671885,0.5290001958194477,0.5223416854671885,0.5290001958194477,0.044797284868919804,0.09147459002691777,0.5223416854671885,0.5290001958194477
0.523,0.523,0.0925140974225118,0.523,0.49,0.49,0.0621379576674818,0.49,0.5130773742725808,0.5161173155957509,0.5130773742725808,0.5161173155957509,0.0673128829949383,0.06931774102398752,0.5130773742725808,0.5161173155957509
0.531,0.531,0.1184210526315789,0.531,0.5,0.5,0.0735799833985533,0.5,0.5049110881599396,0.5096635454103438,0.5049110881599396,0.5096635454103438,0.026587532662175475,0.09931842265035741,0.5049110881599396,0.5096635454103438
0.502,0.502,0.076190193517749,0.502,0.516,0.516,0.0863062988231473,0.516,0.49328733077139114,0.49272375741137653,0.49328733077139114,0.49272375741137653,0.048617068448518534,0.056097844777762175,0.49328733077139114,0.49272375741137653
0.487,0.487,0.0554086600428656,0.487,0.517,0.517,0.0908748682427345,0.517,0.49166179744066824,0.49069576002654075,0.49166179744066824,0.49069576002654075,0.0546787320004715,0.05399346539625192,0.49166179744066824,0.49069576002654075
0.494,0.494,0.053030303030303,0.494,0.51,0.51,0.0705896634396527,0.51,0.4875518149006124,0.4931581679560088,0.4875518149006124,0.4931581679560088,0.02269258622443646,0.03284217871719861,0.4875518149006124,0.4931581679560088
0.601,0.601,0.0873073966987519,0.601,0.514,0.514,0.0709979317279057,0.514,0.6028114217418841,0.59620316946292,0.6028114217418841,0.59620316946292,0.08654171478436706,0.08671980710131467,0.6028114217418841,0.59620316946292
0.687,0.687,0.0723177237700058,0.687,0.51,0.51,0.053805632366799,0.51,0.7423518407913285,0.7555820364174998,0.7423518407913285,0.7555820364174998,0.038051760318244206,0.09843108620940773,0.7423518407913285,0.7555820364174998
0.824,0.824,0.0,0.824,0.523,0.523,0.0925140974225118,0.523,0.8024817471628394,0.8098964136049009,0.8024817471628394,0.8098964136049009,0.009268758476098139,0.013673007440103887,0.8024817471628394,0.8098964136049009
0.817,0.817,0.0,0.817,0.531,0.531,0.1184210526315789,0.531,0.8134716180585626,0.8151210713508802,0.8134716180585626,0.8151210713508802,0.00624957450666579,0.003760963180236121,0.8134716180585626,0.8151210713508802
0.812,0.812,0.0,0.8119999999999999,0.502,0.502,0.076190193517749,0.502,0.8166961983724684,0.8169635644242018,0.8166961983724684,0.8169635644242018,-0.001825750780822452,0.008910336824431618,0.8166961983724684,0.8169635644242018
0.813,0.813,0.0,0.813,0.487,0.487,0.0554086600428656,0.487,0.8203290147889211,0.8167738861973357,0.8203290147889211,0.8167738861973357,0.040406630591215686,0.006615856225868658,0.8203290147889211,0.8167738861973357
0.803,0.803,0.0,0.803,0.494,0.494,0.053030303030303,0.494,0.7974226583014422,0.8058602754465497,0.7974226583014422,0.8058602754465497,0.030123474405076085,0.011964006442687181,0.7974226583014422,0.8058602754465497
