precision,recall,kappa,f1-score,last_precision,last_recall,last_kappa,last_f1-score,precision_pred_0_with_drift,precision_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.04,0.04,1.1102230246251563e-16,0.04,0.11,0.11,0.0729166666666666,0.11,0.10683626047715496,0.06439050735094826,0.10683626047715496,0.06439050735094826,0.06699734671454989,0.02454762207238777,0.10683626047715496,0.06439050735094826
0.04,0.04,0.0,0.04,0.11,0.11,0.0729166666666666,0.11,0.08932311161019067,0.059424474691976564,0.08932311161019067,0.059424474691976564,0.05030430853581099,0.021712314476025698,0.08932311161019067,0.059424474691976564
0.04,0.04,0.0,0.04,0.11,0.11,0.0729166666666666,0.11,0.09586723272625602,0.06926297308107171,0.09586723272625602,0.06926297308107171,0.054559972639808524,0.031165033065973492,0.09586723272625602,0.06926297308107171
0.04,0.04,0.0,0.04,0.11,0.11,0.0729166666666666,0.11,0.09414919563740419,0.060544711601570066,0.09414919563740419,0.060544711601570066,0.05462174324573998,0.021712314476025698,0.09414919563740419,0.060544711601570066
0.04,0.04,0.0,0.04,0.11,0.11,0.0729166666666666,0.11,0.08899880669005743,0.058452992535472315,0.08899880669005743,0.058452992535472315,0.05234524258918172,0.018128841565221505,0.08899880669005743,0.058452992535472315
0.05,0.05,0.0104166666666668,0.05,0.11,0.11,0.0729166666666666,0.11,0.10707819399467211,0.06690708301113703,0.10707819399467211,0.06690708301113703,0.07258966521609309,0.027732586429311274,0.10707819399467211,0.06690708301113703
0.06,0.06,0.0188915562049889,0.06,0.11,0.11,0.0729166666666666,0.11,0.10271545315481585,0.06690708301113703,0.10271545315481585,0.06690708301113703,0.06626221852219641,0.027732586429311274,0.10271545315481585,0.06690708301113703
0.05,0.05,0.0104166666666666,0.05,0.11,0.11,0.0729166666666666,0.11,0.09460450698951604,0.060544711601570066,0.09460450698951604,0.060544711601570066,0.05550598330840247,0.021712314476025698,0.09460450698951604,0.060544711601570066
0.04,0.04,0.0,0.04,0.14,0.14,0.1041666666666666,0.14,0.10259434956251208,0.060544711601570066,0.10259434956251208,0.060544711601570066,0.06450386599384544,0.021712314476025698,0.10259434956251208,0.060544711601570066
0.05,0.05,0.0104166666666665,0.05,0.13,0.13,0.09375,0.13,0.10586065478849514,0.06690708301113703,0.10586065478849514,0.06690708301113703,0.06707978398115819,0.027732586429311274,0.10586065478849514,0.06690708301113703
0.05,0.05,0.0095913261050873,0.05,0.09,0.09,0.0481171548117154,0.09,0.09115208682733701,0.058452992535472315,0.09115208682733701,0.058452992535472315,0.05548695655786609,0.018128841565221505,0.09115208682733701,0.058452992535472315
0.05,0.05,0.0104166666666666,0.05,0.04,0.04,0.0,0.04,0.09978869546355348,0.0675627420433023,0.09978869546355348,0.0675627420433023,0.06332220141677235,0.02828527903208937,0.09978869546355348,0.0675627420433023
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.09920513843366514,0.0675627420433023,0.09920513843366514,0.0675627420433023,0.06326525782288012,0.02828527903208937,0.09920513843366514,0.0675627420433023
0.04,0.04,0.0,0.04,0.04,0.04,1.1102230246251563e-16,0.04,0.08820274684457215,0.06690708301113703,0.08820274684457215,0.06690708301113703,0.052223243510642614,0.027732586429311274,0.08820274684457215,0.06690708301113703
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.10031659223937026,0.0686829789528958,0.10031659223937026,0.0686829789528958,0.06465718003898425,0.02828527903208937,0.10031659223937026,0.0686829789528958
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.09886377655079662,0.06934252452701894,0.09886377655079662,0.06934252452701894,0.0636307514223964,0.02661820289155687,0.09886377655079662,0.06934252452701894
0.04,0.04,1.1102230246251563e-16,0.04,0.04,0.04,0.0,0.04,0.09204773500068951,0.05670695899921359,0.09204773500068951,0.05670695899921359,0.05571746101709456,0.014205443566604579,0.09204773500068951,0.05670695899921359
0.04,0.04,0.0,0.04,0.04,0.04,1.1102230246251563e-16,0.04,0.08881338473726515,0.04159990962952332,0.08881338473726515,0.04159990962952332,0.050960704493240756,0.003247374686773477,0.08881338473726515,0.04159990962952332
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.09734160247490364,0.053631756862790834,0.09734160247490364,0.053631756862790834,0.06262471788220327,0.011338838779894533,0.09734160247490364,0.053631756862790834
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.09377977250867063,0.06866863374604211,0.09377977250867063,0.06866863374604211,0.05789992034548186,0.024718957205172896,0.09377977250867063,0.06866863374604211
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.09579919448635664,0.0691937697739297,0.09579919448635664,0.0691937697739297,0.06358082158296738,0.028812177721191042,0.09579919448635664,0.0691937697739297
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.08335743841036154,0.040678133081514516,0.08335743841036154,0.040678133081514516,0.04753192751231445,-0.0016403132622143772,0.08335743841036154,0.040678133081514516
0.04,0.04,0.0,0.04,0.05,0.05,0.0104166666666668,0.05,0.08074489749644942,0.04727785555790241,0.08074489749644942,0.04727785555790241,0.043094820298710576,0.005854907100091088,0.08074489749644942,0.04727785555790241
0.04,0.04,0.0,0.04,0.06,0.06,0.0188915562049889,0.06,0.10089075665235471,0.08324107016297928,0.10089075665235471,0.08324107016297928,0.063639632592364,0.04089761090210478,0.10089075665235471,0.08324107016297928
0.04,0.04,1.1102230246251563e-16,0.04,0.05,0.05,0.0104166666666666,0.05,0.11198197730862139,0.08461093244110642,0.11198197730862139,0.08461093244110642,0.0728690398836464,0.045861866999721605,0.11198197730862139,0.08461093244110642
0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.1086692594720871,0.08202245945494151,0.1086692594720871,0.08202245945494151,0.06620804936417715,0.04154244469864711,0.1086692594720871,0.08202245945494151
0.04,0.04,0.0,0.04,0.05,0.05,0.0104166666666665,0.05,0.09915199606178852,0.04738405404918575,0.09915199606178852,0.04738405404918575,0.0625209575581158,0.009874724984045733,0.09915199606178852,0.04738405404918575
0.04,0.04,0.0,0.04,0.05,0.05,0.0095913261050873,0.05,0.09824597526725959,0.042352010771167646,0.09824597526725959,0.042352010771167646,0.05938027222540575,0.001959755795027347,0.09824597526725959,0.042352010771167646
0.05,0.05,0.0104166666666666,0.05,0.05,0.05,0.0104166666666666,0.05,0.11695302948664611,0.10541806876223238,0.11695302948664611,0.10541806876223238,0.07982379420697534,0.064680438468223,0.11695302948664611,0.10541806876223238
0.05,0.05,0.0045059205700513,0.05,0.04,0.04,0.0,0.04,0.10684906667050596,0.10375735219561256,0.10684906667050596,0.10375735219561256,0.06965116173276308,0.06239169372974962,0.10684906667050596,0.10375735219561256
0.06,0.06,0.0206292977703687,0.06,0.04,0.04,0.0,0.04,0.11174207479771933,0.14177126602081405,0.11174207479771933,0.14177126602081405,0.07192420806221737,0.10720655289742027,0.11174207479771933,0.14177126602081405
