recall,f1-score,kappa,precision,last_recall,last_f1-score,last_kappa,last_precision,recall_pred_0_with_drift,recall_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift
0.664,0.664,0.2987933402062716,0.664,0.621,0.621,0.2019506936080252,0.621,0.6492689278885871,0.6109289712663897,0.6492689278885871,0.6109289712663897,0.23345761703365886,0.2684011474992303,0.6492689278885871,0.6109289712663897
0.658,0.658,0.2989073614727044,0.658,0.621,0.621,0.2019506936080252,0.621,0.6971332779188232,0.6582132461677717,0.6971332779188232,0.6582132461677717,0.29974893476590153,0.29979431580218635,0.6971332779188232,0.6582132461677717
0.649,0.649,0.2719473644909438,0.649,0.621,0.621,0.2019506936080252,0.621,0.7202256629125126,0.6496726372460494,0.7202256629125126,0.6496726372460494,0.23145150342033696,0.2962989624445683,0.7202256629125126,0.6496726372460494
0.658,0.658,0.2779722420439718,0.658,0.621,0.621,0.2019506936080252,0.621,0.682807345370395,0.6666721012104886,0.682807345370395,0.6666721012104886,0.2337854052544422,0.2749186500159623,0.682807345370395,0.6666721012104886
0.677,0.677,0.2925540769035333,0.677,0.636,0.636,0.2425219855912699,0.636,0.7197707906628215,0.653909132840793,0.7197707906628215,0.653909132840793,0.23995361474150692,0.2507616552667256,0.7197707906628215,0.653909132840793
0.672,0.672,0.2875234052905731,0.672,0.646,0.646,0.2574662398845506,0.646,0.7142603344867611,0.6443559887314275,0.7142603344867611,0.6443559887314275,0.22092343034586276,0.25595330941775185,0.7142603344867611,0.6443559887314275
0.673,0.673,0.3108535300316122,0.673,0.662,0.662,0.2875691353028463,0.662,0.6900989692394962,0.6541786073595615,0.6900989692394962,0.6541786073595615,0.24854147532093418,0.24200846045034888,0.6900989692394962,0.6541786073595615
0.656,0.656,0.2603295833763374,0.656,0.664,0.664,0.2987933402062716,0.664,0.6768836555334039,0.6332726983147872,0.6768836555334039,0.6332726983147872,0.2358875878968618,0.23732752118148848,0.6768836555334039,0.6332726983147872
0.666,0.666,0.2470185089162928,0.666,0.658,0.658,0.2989073614727044,0.658,0.6775221893127523,0.6213198406893908,0.6775221893127523,0.6213198406893908,0.23067311213613978,0.2188982538943995,0.6775221893127523,0.6213198406893908
0.68,0.68,0.205087440381558,0.68,0.649,0.649,0.2719473644909438,0.649,0.6703413460706182,0.6612865553597612,0.6703413460706182,0.6612865553597612,0.19748215972101002,0.21317985875629794,0.6703413460706182,0.6612865553597612
0.725,0.7250000000000001,0.1810406442083193,0.725,0.658,0.658,0.2779722420439718,0.658,0.6994036754595014,0.7317929012685624,0.6994036754595014,0.7317929012685624,0.1902215662669119,0.1899756117374898,0.6994036754595014,0.7317929012685624
0.764,0.764,0.0880989180834621,0.764,0.677,0.677,0.2925540769035333,0.677,0.7830222956604594,0.7866308176143143,0.7830222956604594,0.7866308176143143,0.22288985970047834,0.17978862345651597,0.7830222956604594,0.7866308176143143
0.824,0.824,0.0,0.824,0.672,0.672,0.2875234052905731,0.672,0.8027430636230598,0.7912837740020044,0.8027430636230598,0.7912837740020044,0.030905379011953085,0.047667672408239985,0.8027430636230598,0.7912837740020044
