recall,f1-score,kappa,precision,last_recall,last_f1-score,last_kappa,last_precision,recall_pred_0_with_drift,recall_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift
0.06,0.06,0.0208333333333333,0.06,0.12,0.12,0.0826644428228917,0.12,0.09511269797861199,0.08071396526175934,0.09511269797861199,0.08071396526175934,0.05469427075391084,0.03998415098261095,0.09511269797861199,0.08071396526175934
0.08,0.08,0.0416666666666666,0.08,0.12,0.12,0.0826644428228917,0.12,0.10928562759616525,0.08936828783818661,0.10928562759616525,0.08936828783818661,0.06819390119808315,0.04860569049629027,0.10928562759616525,0.08936828783818661
0.07,0.07,0.0255658005029337,0.07,0.12,0.12,0.0826644428228917,0.12,0.10094612486447462,0.06545393038800325,0.10094612486447462,0.06545393038800325,0.05842550311791915,0.023261150902506675,0.10094612486447462,0.06545393038800325
0.06,0.06,0.0173531256533555,0.06,0.12,0.12,0.0826644428228917,0.12,0.07977971907266888,0.0763287990361708,0.07977971907266888,0.0763287990361708,0.04335851663742943,0.035327610763158476,0.07977971907266888,0.0763287990361708
0.03,0.03,0.0,0.03,0.12,0.12,0.0826644428228917,0.12,0.08720542108048103,0.06716803621894529,0.08720542108048103,0.06716803621894529,0.050028930293503644,0.026690379842105337,0.08720542108048103,0.06716803621894529
0.05,0.05,0.0104166666666666,0.05,0.12,0.12,0.0826644428228917,0.12,0.08965298296200586,0.08195159340087493,0.08965298296200586,0.08195159340087493,0.05141212368418238,0.04207644010386412,0.08965298296200586,0.08195159340087493
0.06,0.06,0.0115667718191376,0.06,0.12,0.12,0.0826644428228917,0.12,0.08761058482302302,0.0763287990361708,0.08761058482302302,0.0763287990361708,0.05005159839342833,0.035327610763158476,0.08761058482302302,0.0763287990361708
0.06,0.06,0.0198123044838374,0.06,0.12,0.12,0.0826644428228917,0.12,0.0761133670367171,0.06716803621894529,0.0761133670367171,0.06716803621894529,0.036151813872179014,0.02661165493756271,0.0761133670367171,0.06716803621894529
0.06,0.06,0.0208333333333333,0.06,0.12,0.12,0.0826644428228917,0.12,0.06651901240059765,0.0737312360132089,0.06651901240059765,0.0737312360132089,0.029077555695611264,0.03422710797817288,0.06651901240059765,0.0737312360132089
0.06,0.06,0.0208333333333333,0.06,0.12,0.12,0.0826644428228917,0.12,0.07753087230240041,0.0728010370457486,0.07753087230240041,0.0728010370457486,0.037583085542088245,0.033428868837622805,0.07753087230240041,0.0728010370457486
0.05,0.05,0.0092814683491501,0.05,0.12,0.12,0.0826644428228917,0.12,0.08613459763600581,0.06716803621894529,0.08613459763600581,0.06716803621894529,0.04553331818409765,0.02661165493756271,0.08613459763600581,0.06716803621894529
0.04,0.04,0.0,0.04,0.12,0.12,0.0826644428228917,0.12,0.10168768063410613,0.06674449045551706,0.10168768063410613,0.06674449045551706,0.0628599220708869,0.026311257891668022,0.10168768063410613,0.06674449045551706
0.03,0.03,0.0,0.03,0.12,0.12,0.0826644428228917,0.12,0.10347654547383048,0.06985628019686288,0.10347654547383048,0.06985628019686288,0.06548886157977155,0.029132219787990837,0.10347654547383048,0.06985628019686288
0.02,0.02,0.0,0.02,0.16,0.16,0.1231732776617955,0.16,0.09139383628981242,0.06985628019686288,0.09139383628981242,0.06985628019686288,0.05157798507065053,0.029132219787990837,0.09139383628981242,0.06985628019686288
0.06,0.06,0.0190963163936138,0.06,0.13,0.13,0.0935611585747031,0.13,0.0975147831570536,0.06674449045551706,0.0975147831570536,0.06674449045551706,0.05702569839922534,0.026280961853492733,0.0975147831570536,0.06674449045551706
0.06,0.06,0.0173531256533555,0.06,0.1,0.1,0.0590695243073706,0.1,0.08830253002348218,0.0728010370457486,0.08830253002348218,0.0728010370457486,0.04822948265069117,0.033428868837622805,0.08830253002348218,0.0728010370457486
0.07,0.07,0.03125,0.07,0.05,0.05,0.0087646076794658,0.05,0.10182338063126942,0.06821960960619652,0.10182338063126942,0.06821960960619652,0.06559784783493805,0.027888798864837454,0.10182338063126942,0.06821960960619652
0.06,0.06,0.0208333333333333,0.06,0.06,0.06,0.0208333333333333,0.06,0.09487143124129409,0.0737312360132089,0.09487143124129409,0.0737312360132089,0.054257505018387255,0.03422710797817288,0.09487143124129409,0.0737312360132089
0.07,0.07,0.0255658005029337,0.07,0.08,0.08,0.0416666666666666,0.08,0.09141280375397319,0.06405608937763506,0.09141280375397319,0.06405608937763506,0.051651115347742325,0.022834144992338552,0.09141280375397319,0.06405608937763506
0.07,0.07,0.0269930947897051,0.07,0.07,0.07,0.0255658005029337,0.07,0.08927511878407317,0.06716803621894529,0.08927511878407317,0.06716803621894529,0.048647905004796106,0.026690379842105337,0.08927511878407317,0.06716803621894529
0.05,0.05,0.0104166666666666,0.05,0.06,0.06,0.0173531256533555,0.06,0.09302713940598109,0.07948379471095547,0.09302713940598109,0.07948379471095547,0.05323708086113013,0.03681030223508633,0.09302713940598109,0.07948379471095547
0.04,0.04,0.0,0.04,0.03,0.03,0.0,0.03,0.09245917333398726,0.07290075600568235,0.09245917333398726,0.07290075600568235,0.051809310102611,0.032224967666140025,0.09245917333398726,0.07290075600568235
0.07,0.07,0.0238270179489872,0.07,0.05,0.05,0.0104166666666666,0.05,0.1071105246556075,0.06842721956717536,0.1071105246556075,0.06842721956717536,0.06773676911575162,0.028491871143176688,0.1071105246556075,0.06842721956717536
0.09,0.09,0.0507979555648275,0.09,0.06,0.06,0.0115667718191376,0.06,0.09932951206670484,0.08333830262700287,0.09932951206670484,0.08333830262700287,0.0568857106840572,0.04506984971388598,0.09932951206670484,0.08333830262700287
0.1,0.1,0.0625,0.1,0.06,0.06,0.0198123044838374,0.06,0.09996655727241517,0.08425787925938831,0.09996655727241517,0.08425787925938831,0.057139069573944254,0.045758759914470246,0.09996655727241517,0.08425787925938831
0.07,0.07,0.03125,0.07,0.06,0.06,0.0208333333333333,0.06,0.07933934963239411,0.06755063261369261,0.07933934963239411,0.06755063261369261,0.038039837124283535,0.02601301654079437,0.07933934963239411,0.06755063261369261
0.07,0.07,0.0242367012905256,0.07,0.06,0.06,0.0208333333333333,0.06,0.10117080766602533,0.06796633014208013,0.10117080766602533,0.06796633014208013,0.059531619977587484,0.026570019892160863,0.10117080766602533,0.06796633014208013
